id,name,province,lat_actual,long_actual,lat_origin,long_origin,profile,region,district,Timezone
706,Aden,AB,48.997392,-111.257935,48.989516,-111.259147,FALSE,Prairie,Southern Alberta,America/Edmonton
707,Carway,AB,48.998899,-113.378764,48.990829,-113.380902,FALSE,Prairie,Southern Alberta,America/Edmonton
709,Chief Mountain,AB,48.998107,-113.661075,48.990547,-113.654793,FALSE,Prairie,Southern Alberta,America/Edmonton
705,Coutts,AB,48.998691,-111.960121,48.990949,-111.959626,FALSE,Prairie,Southern Alberta,America/Edmonton
708,Del Bonita,AB,48.999585,-112.788271,48.991103,-112.788331,FALSE,Prairie,Southern Alberta,America/Edmonton
711,Wild Horse,AB,48.999455,-110.215937,48.991762,-110.215127,FALSE,Prairie,Southern Alberta,America/Edmonton
824,Roosville,BC,49.000528,-115.055171,48.991668,-115.057572,  ,Pacific,Okanagan and Kootenay,America/Edmonton
818,Kingsgate,BC,49.000965,-116.180682,48.993412,-116.181466,FALSE,Pacific,Okanagan and Kootenay,America/Los_Angeles
822,Rykerts,BC,49.001913,-116.500235,48.994073,-116.496399,FALSE,Pacific,Okanagan and Kootenay,America/Los_Angeles
817,Abbostford-Huntingdon,BC,49.002677,-122.265168,48.993893,-122.264978,1,Pacific,Pacific Highway,America/Vancouver
841,Aldergrove,BC,49.002973,-122.484176,48.994042,-122.485111,1,Pacific,Pacific Highway,America/Vancouver
815,Boundary Bay,BC,49.00221,-123.067904,48.997061,-123.0679,FALSE,Pacific,Pacific Highway,America/Vancouver
834,Carson,BC,49.000125,-118.50319,48.99218,-118.508089,FALSE,Pacific,Okanagan and Kootenay,America/Vancouver
816,Cascade,BC,49.000498,-118.223779,48.991401,-118.22535,FALSE,Pacific,Okanagan and Kootenay,America/Vancouver
836,Chopaka,BC,49.000989,-119.67113,48.999326,-119.658753,FALSE,Pacific,Okanagan and Kootenay,America/Vancouver
840,Douglas,BC,49.004779,-122.757019,49.000467,-122.754699,1,Pacific,Pacific Highway,America/Vancouver
893,Fraser,BC,59.714948,-135.046195,59.709803,-135.060275,FALSE,Pacific,West Coast and Yukon,America/Vancouver
835,Midway,BC,49.000475,-118.761216,48.998926,-118.761334,FALSE,Pacific,Okanagan and Kootenay,America/Vancouver
828,Nelway,BC,49.000175,-117.299369,48.991759,-117.300794,FALSE,Pacific,Okanagan and Kootenay,America/Vancouver
819,Osoyoos,BC,49.000475,-119.462717,48.992176,-119.458077,FALSE,Pacific,Okanagan and Kootenay,America/Vancouver
813,Pacific Highway,BC,49.002965,-122.734753,48.994114,-122.734923,1,Pacific,Pacific Highway,America/Vancouver
832,Paterson,BC,49.001273,-117.831678,48.993347,-117.830727,FALSE,Pacific,Okanagan and Kootenay,America/Vancouver
891,Pleasant Camp,BC,59.454073,-136.364616,59.448415,-136.355085,FALSE,Pacific,West Coast and Yukon,America/Vancouver
896,Stewart,BC,55.912031,-130.016167,55.916925,-130.025982,FALSE,Pacific,West Coast and Yukon,America/Vancouver
833,Waneta,BC,49.000842,-117.624667,48.994313,-117.633452,FALSE,Pacific,Okanagan and Kootenay,America/Vancouver
507,Boissevain,MB,49.000553,-100.052242,48.992437,-100.052217,FALSE,Prairie,Southern Manitoba,America/Winnipeg
521,Cartwright,MB,49.000384,-99.346884,48.992101,-99.350761,FALSE,Prairie,Southern Manitoba,America/Winnipeg
524,Coulter,MB,49.000038,-101.020333,48.993118,-101.016359,FALSE,Prairie,Southern Manitoba,America/Winnipeg
520,Crystal City,MB,49.000118,-98.937843,48.991414,-98.934992,FALSE,Prairie,Southern Manitoba,America/Winnipeg
502,Emerson,MB,49.001432,-97.237125,48.993572,-97.241912,FALSE,Prairie,Southern Manitoba,America/Winnipeg
508,Goodlands,MB,49.000077,-100.555395,48.991687,-100.557558,FALSE,Prairie,Southern Manitoba,America/Winnipeg
503,Gretna,MB,49.001212,-97.556694,48.993005,-97.5572,FALSE,Prairie,Southern Manitoba,America/Winnipeg
